"Value is required and can't be empty","El campo es requerido y no puede estar vacio"

"Captcha value is wrong","El valor es incorrecto"

"Invalid type given. String expected","El campo esperaba una linea de texto"
"'%value%' is no valid email address in the basic format local-part@hostname","'%value%' no es una correo electrónico valido"
"'%hostname%' is no valid hostname for email address '%value%'",
"'%hostname%' does not appear to have a valid MX record for the email address '%value%'",
"'%hostname%' is not in a routable network segment. The email address '%value%' should not be resolved from public network",
"'%localPart%' can not be matched against dot-atom format",
"'%localPart%' can not be matched against quoted-string format",
"'%localPart%' is no valid local part for email address '%value%'",
"'%value%' exceeds the allowed length","'%value%' excede el tamaño disponible"
"No token was provided to match against","Vuelva a intentar, por favor"
"The two given tokens do not match","Vuelva a intentar, por favor"

"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"